# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 344:         4.447       51.962      -4.30  ROTTERDAM
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# FHVEC    = Vectorgemiddelde windsnelheid (in 0.1 m/s). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken; 
# 
STN,YYYYMMDD,FHVEC
  344,20180702,   50
  344,20180703,   39
  344,20180704,   26
  344,20180705,   22
  344,20180706,   20
  344,20180707,   19
  344,20180708,   22
  344,20180709,   32
  344,20180710,   45
  344,20180711,   32
  344,20180712,   31
  344,20180713,   22
  344,20180714,   22
  344,20180715,   15
  344,20180716,   12
  344,20180717,   38
  344,20180718,   14
  344,20180719,   22
  344,20180720,   21
  344,20180721,   29
  344,20180722,   20
  344,20180723,   13
  344,20180724,   15
  344,20180725,   18
  344,20180726,   25
  344,20180727,   25
  344,20180728,   48
  344,20180729,   49
  344,20180730,   35
  344,20180731,   22
  344,20180801,   17
  344,20180802,   16
  344,20180803,   16
  344,20180804,   30
  344,20180805,   24
  344,20180806,   11
  344,20180807,    6
  344,20180808,   46
  344,20180809,    8
  344,20180810,   61
  344,20180811,   29
  344,20180812,   32
  344,20180813,   31
  344,20180814,   37
  344,20180815,   44
  344,20180816,   32
  344,20180817,   20
  344,20180818,   44
  344,20180819,   54
  344,20180820,   16
  344,20180821,    4
  344,20180822,   26
  344,20180823,   40
  344,20180824,   50
  344,20180825,   31
  344,20180826,   54
  344,20180827,   53
  344,20180828,   17
  344,20180829,   15
  344,20180830,   26
